re,im
0.00024368681642599355,-1.9188784591968495e-5
7.152630584803953e-5,3.1107279095637496e-6
2.4278676173010785e-5,2.8717812931415045e-6
9.725124686495211e-6,1.1784681336428609e-6
5.055892623406083e-6,2.1766152288123404e-7
3.5463126649326777e-6,-1.8259259787619872e-7
3.189127013830456e-6,-2.851658172115662e-7
3.545581603278322e-6,-1.8230306460817816e-7
5.0543787373760925e-6,2.1805992823963408e-7
9.716504798281192e-6,1.1806495602072024e-6
2.4266421753578243e-5,2.8831365819377824e-6
7.153380532594236e-5,3.1317057622103593e-6
0.00024387094854391093,-1.917551902034728e-5
0.0002438919667571073,-1.911246228087954e-5
7.15082705471336e-5,3.1408656185362687e-6
2.430227608645765e-5,2.8715749812173626e-6
9.725793128636693e-6,1.1806611576379005e-6
5.055137238386574e-6,2.1774408281668468e-7
3.545110934907291e-6,-1.8119649577530254e-7
3.1897667575474416e-6,-2.857493563099018e-7
3.545724087048764e-6,-1.819352015196632e-7
5.053710121175276e-6,2.1736243215140366e-7
9.715782087325441e-6,1.1808719133992677e-6
2.4293341230913418e-5,2.870833489358564e-6
7.1573682865395e-5,3.089243956229523e-6
0.00024354993624207933,-1.900614302304698e-5
0.00024359798405660434,-1.902347504819041e-5
7.158303844754317e-5,3.0796041734961876e-6
2.4306312650500305e-5,2.8630200971100413e-6
9.72393454673915e-6,1.1768731313687233e-6
5.055704857970071e-6,2.1780872359248964e-7
3.5468189538289015e-6,-1.8297435112088305e-7
3.1903470971786103e-6,-2.860393322604883e-7
3.546451196388299e-6,-1.8291316558833107e-7
5.054672772035343e-6,2.171166769021366e-7
9.72801848216488e-6,1.1776429808024909e-6
2.4315642777438928e-5,2.8584257663105597e-6
7.153769942368324e-5,3.0853185871034233e-6
0.00024368681642593848,-1.9188784591939656e-5
0.00024378771668834092,-1.9259279053015273e-5
7.155165008718438e-5,3.091166794884099e-6
2.428323951324772e-5,2.8664481151613203e-6
9.721839259096976e-6,1.1803610855424737e-6
5.0551637506637565e-6,2.1691112614863513e-7
3.5457677804262393e-6,-1.8214476328604068e-7
3.189878839994281e-6,-2.858575010062248e-7
3.5451900147933767e-6,-1.8186898419919086e-7
5.055938315568593e-6,2.1827855321474542e-7
9.728025474668245e-6,1.1792843793534229e-6
2.4288679015054167e-5,2.870430171900574e-6
7.152630584802326e-5,3.110727909574158e-6
0.00024389196675706306,-1.9112462280853086e-5
0.00024369581774050068,-1.920468300419735e-5
7.152559302803577e-5,3.0764995986264348e-6
2.4299554709676825e-5,2.8658873431237908e-6
9.724459824971086e-6,1.1761864778111423e-6
5.055599156772277e-6,2.1675024954839923e-7
3.5468453162892932e-6,-1.8284600934877736e-7
3.1897338682756234e-6,-2.8577182432779936e-7
3.546071593665129e-6,-1.8191636640477182e-7
5.055991849187537e-6,2.1787487059637956e-7
9.719495258093914e-6,1.1794637815132174e-6
2.427867617299951e-5,2.8717812931451907e-6
7.150827054711473e-5,3.1408656185416897e-6
0.00024359798405656054,-1.9023475048169595e-5
0.00024345313705862988,-1.9022995947758558e-5
7.157413437390027e-5,3.107291651237255e-6
2.429425747564628e-5,2.8683817144270485e-6
9.721522226713557e-6,1.1798163479809914e-6
5.056125572649095e-6,2.174014511508067e-7
3.545554990528558e-6,-1.816749866981847e-7
3.1893884003284054e-6,-2.8499528237076015e-7
3.5460184743772976e-6,-1.8144961585163377e-7
5.055851110380644e-6,2.176699720423097e-7
9.725124686494994e-6,1.1784681336515345e-6
2.430227608645353e-5,2.871574981223651e-6
7.158303844753407e-5,3.0796041735033433e-6
0.0002437877166883019,-1.9259279052987518e-5
0.0002439567275440192,-1.9185288181783463e-5
7.153202047414106e-5,3.1206118825822648e-6
