re,im
3.1680477221274726e-5,1.5284165696292148e-5
8.080265000588683e-6,-9.8583354982704e-7
4.8722593951318425e-6,-8.571123223516646e-7
3.5450982263090115e-6,-6.70100813580498e-7
2.9476653120392906e-6,-5.771158669296353e-7
2.680315161390605e-6,-5.33502524228003e-7
2.605347294679485e-6,-5.215272322037137e-7
2.680260782514203e-6,-5.334369349229654e-7
2.9484217345466038e-6,-5.775370641764206e-7
3.545044226865423e-6,-6.69747189038089e-7
4.8729449449314965e-6,-8.562733890043941e-7
8.083368355032983e-6,-9.868288035834016e-7
3.166752032064636e-5,1.5289915876991363e-5
3.1701122055201965e-5,1.5281141615156035e-5
8.078834775860971e-6,-9.841381231506015e-7
4.868650316996754e-6,-8.545553203307375e-7
3.5434264453579247e-6,-6.693088778566853e-7
2.9443150916445664e-6,-5.756734631511863e-7
2.6796520520642585e-6,-5.331668854124342e-7
2.6017646271117058e-6,-5.200140400329727e-7
2.6797608072889195e-6,-5.33363647633317e-7
2.9446652181478773e-6,-5.756915972281087e-7
3.542982953326848e-6,-6.691266331106983e-7
4.869391887305169e-6,-8.551745438918363e-7
8.083316857727648e-6,-9.830004246340427e-7
3.175833675612429e-5,1.5240281206182387e-5
3.171056909937928e-5,1.5274533756038733e-5
8.07737121163608e-6,-9.824433137121946e-7
4.871047796235978e-6,-8.559306903215946e-7
3.542595598450809e-6,-6.689659721365905e-7
2.946310592436517e-6,-5.76548354221584e-7
2.67881697578725e-6,-5.328198301611433e-7
2.6038527487317643e-6,-5.210334512849996e-7
2.679332668417342e-6,-5.329096975719653e-7
2.9460466151390308e-6,-5.764268787762129e-7
3.543476187552663e-6,-6.695015432858688e-7
4.869865655729834e-6,-8.551072206597777e-7
8.082185963607111e-6,-9.823319744872456e-7
3.168047722127256e-5,1.5284165696293666e-5
3.169504988996216e-5,1.529015327844576e-5
8.082465093581454e-6,-9.867193564367435e-7
4.869576394465154e-6,-8.549403883297089e-7
3.5442172887912e-6,-6.697458953442044e-7
2.945210286918812e-6,-5.760237960642563e-7
2.6804343351840513e-6,-5.33606000976657e-7
2.6032821821544896e-6,-5.204576308140505e-7
2.680299713825069e-6,-5.333680411054482e-7
2.946178424738507e-6,-5.763835191718945e-7
3.5440992619539813e-6,-6.69460052959937e-7
4.869695741102544e-6,-8.546901139243421e-7
8.080265000586732e-6,-9.858335498220527e-7
3.170112205520023e-5,1.528114161516384e-5
3.171307756394577e-5,1.527060869467513e-5
8.079930950600925e-6,-9.802954052747122e-7
4.86876804364593e-6,-8.552129098669467e-7
3.542153811324179e-6,-6.689715990036184e-7
2.9458341779316655e-6,-5.7666067808642e-7
2.679319649358204e-6,-5.330443534957464e-7
2.6034786445910865e-6,-5.208764309073965e-7
2.679626595674658e-6,-5.33272555335116e-7
2.946084045652147e-6,-5.765338111586495e-7
3.542857972944685e-6,-6.691337829912124e-7
4.8722593951264215e-6,-8.571123223464604e-7
8.078834775854249e-6,-9.84138123143229e-7
3.1710569099365404e-5,1.527453375605066e-5
3.1726281413714964e-5,1.5260880659769948e-5
8.079248139154218e-6,-9.855438053644593e-7
4.871040932603269e-6,-8.557693866768912e-7
3.5443902126751792e-6,-6.70000401940124e-7
2.9461914712450906e-6,-5.763380337782311e-7
2.6802984125302767e-6,-5.334418626396203e-7
2.60339097910749e-6,-5.206167343020304e-7
2.6801148146169285e-6,-5.332614738103123e-7
2.945142078051655e-6,-5.758294423570832e-7
3.545098226306843e-6,-6.701008135800643e-7
4.868650316994802e-6,-8.54555320328786e-7
8.077371211630442e-6,-9.82443313706123e-7
3.169504988995565e-5,1.5290153278443592e-5
3.1676099501596645e-5,1.529345213293113e-5
