re,im
0.00013639811624462507,1.911582640628552e-5
1.8669214292875132e-5,5.465916393139177e-6
6.059210839121218e-6,1.8704397337725685e-7
3.898042804174927e-6,-5.336454323267691e-7
3.2025539587663375e-6,-5.787829722350007e-7
2.9227955763873586e-6,-5.637859359312186e-7
2.8452394591834025e-6,-5.571149042937502e-7
2.9229962775600537e-6,-5.638667198053834e-7
3.2020060343133493e-6,-5.78617842339783e-7
3.897117734317623e-6,-5.333893792361464e-7
6.0580708996277235e-6,1.8715672085592786e-7
1.8668350013765697e-5,5.467247482149893e-6
0.00013639951225050476,1.9117682704743134e-5
0.00013639794838319654,1.9117304899573606e-5
1.867029941073463e-5,5.465590222149654e-6
6.059079680471738e-6,1.8708227729979064e-7
3.898449268428892e-6,-5.338223022463041e-7
3.2023256151788096e-6,-5.78646691843732e-7
2.9224013309008413e-6,-5.635536256167872e-7
2.845664185046823e-6,-5.572614708727192e-7
2.9224813293783018e-6,-5.636410258420821e-7
3.201524200541683e-6,-5.783480435438484e-7
3.897770599513338e-6,-5.336673780007798e-7
6.057687563963297e-6,1.8772623708025564e-7
1.866924123566341e-5,5.466650321991765e-6
0.00013640634746445537,1.9110374342263267e-5
0.00013640029250569746,1.911747420665238e-5
1.866702125448037e-5,5.467423057162321e-6
6.0585537862980435e-6,1.8699382115915791e-7
3.8981934038233475e-6,-5.338197230338529e-7
3.2020552499067555e-6,-5.785442731081301e-7
2.9230418338366867e-6,-5.638637156951849e-7
2.8454867093028694e-6,-5.572224158255455e-7
2.9223657287459365e-6,-5.63580924280117e-7
3.2023714590756307e-6,-5.787672844302129e-7
3.89745458473454e-6,-5.334693098173974e-7
6.05871966109805e-6,1.8733146758842002e-7
1.8672044721324476e-5,5.465609428282432e-6
0.00013639811624464762,1.911582640627728e-5
0.00013640396718778863,1.9116427428319746e-5
1.8666562448195955e-5,5.467428043112125e-6
6.058336506297411e-6,1.8710713385670756e-7
3.897655163694882e-6,-5.334983452719936e-7
3.2023836052182293e-6,-5.787075033861656e-7
2.922609159934338e-6,-5.636860699396572e-7
2.8451064764116896e-6,-5.570313594981027e-7
2.9228064276254524e-6,-5.638138737243566e-7
3.2016939182095538e-6,-5.784474871551801e-7
3.897775373739058e-6,-5.33623127389575e-7
6.058663941868473e-6,1.8749234187475164e-7
1.866921429288359e-5,5.465916393142863e-6
0.00013639794838320217,1.911730489957274e-5
0.0001363965295003509,1.9122676817305215e-5
1.8666787248144577e-5,5.4671197027118205e-6
