re,im
9.776123003223721e-5,6.28724331325518e-6
1.4272487899094893e-5,1.0405219164337943e-7
5.623044965643361e-6,-7.646603977139394e-7
3.7315305322469135e-6,-6.825749956497311e-7
3.0221416008591705e-6,-5.878047494747678e-7
2.721695868568297e-6,-5.396406224002096e-7
2.6371630270603796e-6,-5.255833369604678e-7
2.722167793215227e-6,-5.397819622767527e-7
3.0220904533159385e-6,-5.878119198866015e-7
3.731258343186994e-6,-6.825051869975996e-7
5.6244989703893924e-6,-7.651743129785584e-7
1.4271812069991709e-5,1.0412398761662587e-7
9.775852519800605e-5,6.288661153810971e-6
9.775519038325922e-5,6.289028310944335e-6
1.4275565427273804e-5,1.027271063869066e-7
5.624882965518056e-6,-7.652291156830335e-7
3.732393005712823e-6,-6.828493638375141e-7
3.022352627132883e-6,-5.878753223835043e-7
2.7222639436387877e-6,-5.398244829331279e-7
2.637390567060676e-6,-5.256706343329236e-7
2.7219370694396387e-6,-5.397475163341266e-7
3.0219470159020823e-6,-5.87760169423095e-7
3.732279653446448e-6,-6.828706687849037e-7
5.622572679666975e-6,-7.646000326255774e-7
1.4271888090034834e-5,1.0378152092880514e-7
9.774703570761354e-5,6.2942197260633034e-6
9.775319043361583e-5,6.289907603840099e-6
1.4272627488879502e-5,1.0360656033114608e-7
5.624244734217347e-6,-7.649474098651811e-7
3.7315463761711763e-6,-6.82586192577014e-7
3.022380378875627e-6,-5.87873464969e-7
2.7222929343127984e-6,-5.398180770144721e-7
2.6370434458890257e-6,-5.255671359862034e-7
2.7217968573563754e-6,-5.396753136798979e-7
3.0228848112833634e-6,-5.880345454271083e-7
3.7316568661867507e-6,-6.826257684617925e-7
5.624676907002753e-6,-7.652521342782015e-7
1.4270685706110637e-5,1.0410500720042879e-7
9.776123003214614e-5,6.287243313283261e-6
9.775708581629544e-5,6.288075013484483e-6
1.427784580701301e-5,1.0234841316472676e-7
5.6240256790271274e-6,-7.649057725773794e-7
3.7319461800274303e-6,-6.82719572390935e-7
3.0226632577218422e-6,-5.879512489116983e-7
2.7219018956300273e-6,-5.39718563434587e-7
2.6367117598874446e-6,-5.254717478360253e-7
2.722141653352817e-6,-5.398030245568194e-7
3.021701335611301e-6,-5.876846916200509e-7
3.731585097999004e-6,-6.826592098489303e-7
5.622095489947378e-6,-7.645024363928327e-7
