re,im
0.00018612075230524166,5.286850783897071e-7
3.685814219463201e-5,4.280339192909823e-6
1.0456836038723327e-5,8.527385892452902e-7
5.1976736148864975e-6,-3.3532433334833474e-7
3.962378504930456e-6,-6.267715674627972e-7
3.620181394603083e-6,-6.884654679129021e-7
3.542035198311321e-6,-6.979314238187394e-7
3.6195324761339933e-6,-6.88210854692204e-7
3.962769405301339e-6,-6.26855057162326e-7
5.198165270819477e-6,-3.3546724506226464e-7
1.0456096933811939e-5,8.533983157398613e-7
3.6861287137745884e-5,4.279045877613385e-6
0.00018611965235035472,5.282811376596669e-7
0.00018613135336015252,5.238779578187452e-7
3.6861791106268397e-5,4.278411202353989e-6
1.045536826192934e-5,8.540005079194467e-7
5.197057680655795e-6,-3.3497122449801554e-7
3.961852897990106e-6,-6.265726092944974e-7
3.6186820104359106e-6,-6.8788852621883e-7
3.541727161565037e-6,-6.978562292390099e-7
3.619290737602891e-6,-6.880761835932787e-7
3.961930104139566e-6,-6.26541727319135e-7
5.1977404152700815e-6,-3.3536244468468715e-7
1.045474029600659e-5,8.540939938630424e-7
3.68618987569725e-5,4.278378337225185e-6
0.00018613094939056818,5.233989292950832e-7
0.00018611623640472875,5.29401557693111e-7
3.686530380267862e-5,4.276581828844541e-6
1.04559479731398e-5,8.537449792918924e-7
5.196687316843043e-6,-3.3489610974353837e-7
3.9604669000200664e-6,-6.260754643544822e-7
3.6182474100199258e-6,-6.87819922216143e-7
3.5413135639349343e-6,-6.976974777303264e-7
3.6188975165798738e-6,-6.879495404290073e-7
3.962047011689396e-6,-6.266285837012477e-7
5.197498588292368e-6,-3.351783066053368e-7
1.0456867229902524e-5,8.530082716989591e-7
3.6861069711511315e-5,4.279169465104971e-6
0.00018612075230525424,5.286850783881893e-7
0.00018611696111210316,5.281397819664573e-7
3.686367315970142e-5,4.276714002765004e-6
1.0455757416422476e-5,8.535949884516149e-7
5.196724262673336e-6,-3.34916578552261e-7
3.961201996010655e-6,-6.26410435971116e-7
3.61887216295681e-6,-6.879963495910225e-7
3.5420895413641653e-6,-6.97944547415133e-7
3.619952682785369e-6,-6.883356108349035e-7
3.962255545894274e-6,-6.266347015412062e-7
5.198362468277059e-6,-3.3560286293488235e-7
1.0453950227383869e-5,8.542897548138948e-7
3.685814219464155e-5,4.280339192908088e-6
0.00018613135336018115,5.238779578126736e-7
0.0001861119975347385,5.30662436310338e-7
3.686341895488363e-5,4.277130121687093e-6
1.0455976167858495e-5,8.537669598308092e-7
5.1966578117114155e-6,-3.349472833171635e-7
3.960994700485075e-6,-6.263090647174938e-7
3.6188982041847947e-6,-6.880013050691077e-7
3.54235211843211e-6,-6.980787937852298e-7
3.6194115656535807e-6,-6.881323949628221e-7
3.962499143836439e-6,-6.268077658987559e-7
5.197966877264204e-6,-3.354969001377519e-7
1.045683603872181e-5,8.52738589241387e-7
3.686179110627208e-5,4.27841120235117e-6
0.00018611623640474068,5.294015576863889e-7
0.00018611925595375602,5.265870092249075e-7
3.686690590400414e-5,4.27581587018693e-6
1.0455229917605063e-5,8.539433926620446e-7
5.195758478292482e-6,-3.3459168818764963e-7
3.960315832466418e-6,-6.260306748605369e-7
3.618285894824028e-6,-6.877824417735653e-7
3.540730063364807e-6,-6.97468140209781e-7
3.618049088335764e-6,-6.876639537926367e-7
3.960569915871775e-6,-6.260315630294156e-7
5.197673614891702e-6,-3.353243333476842e-7
1.0455368261939749e-5,8.540005079205309e-7
3.6865303802689894e-5,4.276581828840855e-6
