re,im
3.09676994936052e-6,-5.523191292473514e-7
2.758368718854985e-6,-5.269597917307266e-7
2.6650236138658565e-6,-5.168447697826567e-7
2.758572451646039e-6,-5.270620862043995e-7
3.096427486892414e-6,-5.522242517601913e-7
3.964785157899381e-6,-5.282737506715103e-7
6.819912904801155e-6,2.271334554292126e-8
2.2266285598985386e-5,3.5504812235184497e-6
0.00014370314859873967,1.0669997128529311e-5
0.0001436605581275985,1.0699333091572635e-5
2.226317433470207e-5,3.5523825096606468e-6
6.821786535125395e-6,2.2179597006883808e-8
3.965195550604227e-6,-5.283864958605632e-7
3.0964884316607433e-6,-5.522018691394778e-7
2.758529907733202e-6,-5.270354014104851e-7
2.665313968354139e-6,-5.16928350411186e-7
2.7586221552603103e-6,-5.270710155568827e-7
3.096813685025783e-6,-5.523262393302732e-7
3.96503868101486e-6,-5.284012455451098e-7
6.820816506649015e-6,2.2403011005556542e-8
2.226932261303904e-5,3.5491245053396753e-6
0.00014365496407261493,1.0702893868149875e-5
0.00014367146594572076,1.069744566873157e-5
2.227235676174758e-5,3.548218145425254e-6
6.821438676268658e-6,2.2258082337748425e-8
3.964707200175338e-6,-5.282341422874464e-7
3.0962630055959926e-6,-5.521470827370666e-7
2.7584244010677317e-6,-5.269887938946782e-7
2.6648749761992285e-6,-5.167711875288684e-7
2.7584924523033853e-6,-5.269875908754402e-7
3.096527886707395e-6,-5.522257854712834e-7
3.964873449874024e-6,-5.282490093115079e-7
6.8224539174525315e-6,2.1795979197273413e-8
2.226271306185598e-5,3.5517929494522683e-6
0.00014366180920665503,1.0699860731508502e-5
0.0001437462737101144,1.0639706946606077e-5
2.2272259672334463e-5,3.547297217014033e-6
6.8208967296617094e-6,2.2276458919905442e-8
3.964829960519979e-6,-5.283268327315252e-7
3.096621276062238e-6,-5.523051674184796e-7
2.7584180113738362e-6,-5.270184948553362e-7
2.665205377724812e-6,-5.168909876218913e-7
2.758637475223924e-6,-5.270739247657807e-7
3.0964854486677674e-6,-5.521943336360066e-7
3.965933330264074e-6,-5.286849548576632e-7
6.820556229564408e-6,2.2596263276079484e-8
2.2264382295682228e-5,3.5511139616689526e-6
0.0001436605581275148,1.0699333091634435e-5
0.00014378019033689038,1.060914942838261e-5
2.227342526552002e-5,3.5472178769061988e-6
6.82194838383973e-6,2.2114514772360316e-8
3.9652730625401155e-6,-5.284748542653574e-7
3.0964804448353495e-6,-5.522475426990303e-7
2.7586383038811623e-6,-5.270680105374723e-7
2.6652030872700936e-6,-5.168845227789074e-7
2.7583428899805723e-6,-5.269372609206097e-7
3.0970790427418352e-6,-5.524394867378185e-7
3.964738113131777e-6,-5.281430108165872e-7
6.820718124755454e-6,2.2516733184149013e-8
2.226317433468147e-5,3.5523825096771267e-6
0.00014367146594562036,1.0697445668772119e-5
0.00014369915287155608,1.0669704791837565e-5
2.2269623095081932e-5,3.5494314141969446e-6
6.821140722216169e-6,2.2443983912481466e-8
3.964812953112561e-6,-5.282176275768404e-7
3.096720961691564e-6,-5.52270209589964e-7
2.7586390366010367e-6,-5.270492957547106e-7
2.6648770392536e-6,-5.167595420593404e-7
2.758894041697069e-6,-5.271929016891462e-7
3.096457190320933e-6,-5.521676350133103e-7
3.965477258806782e-6,-5.28519293737208e-7
6.821786535116288e-6,2.217959701815951e-8
2.2272356761712667e-5,3.548218145429591e-6
0.00014374627371000512,1.0639706946662022e-5
0.00014365077126722104,1.0704109066526695e-5
2.2262506448936714e-5,3.5514958054195817e-6
6.820953630787231e-6,2.239910469148225e-8
3.965910181434433e-6,-5.286120617704806e-7
3.097126647311427e-6,-5.524023284676511e-7
2.7584784499550593e-6,-5.269846079275671e-7
2.6654888987149173e-6,-5.170141411984207e-7
2.7584089085162626e-6,-5.269475007740627e-7
3.096769949346642e-6,-5.523191292417136e-7
3.965195550597721e-6,-5.283864958471191e-7
6.821438676245456e-6,2.225808234056735e-8
2.2272259672297817e-5,3.5472972170335487e-6
0.00014378019033678847,1.0609149428447229e-5
0.00014366128997589443,1.0698757515063004e-5
2.22649937172486e-5,3.551819568184877e-6
6.822144862415544e-6,2.2119400461219005e-8
3.965279576055754e-6,-5.283614611148024e-7
3.0960742277343772e-6,-5.520285906251109e-7
2.758487858612506e-6,-5.270261181715939e-7
2.6646764079811536e-6,-5.166597237310413e-7
2.7583687188608395e-6,-5.269597917237877e-7
3.0964884316744042e-6,-5.522018691251664e-7
3.9647072001729525e-6,-5.282341422824591e-7
6.820896729656072e-6,2.2276458935951635e-8
2.2273425265511128e-5,3.5472178769326533e-6
0.0001436991528714854,1.0669704791902617e-5
