re,im
0.0001791546455167676,5.890906244914763e-7
3.537005368804734e-5,2.4674476278433496e-6
1.0051006647474742e-5,2.526340982108525e-7
4.786775019762889e-6,-4.239179532568565e-7
3.409631399953813e-6,-5.466896021149182e-7
2.9697633874064752e-6,-5.529866078284387e-7
2.859950186883623e-6,-5.492413386214753e-7
2.969774406884774e-6,-5.52983060608846e-7
3.4097452990301813e-6,-5.467089283801158e-7
4.786753981787708e-6,-4.2385331437905585e-7
1.0051335382144436e-5,2.525931529905479e-7
3.537208988943627e-5,2.466430063099729e-6
0.00017914997556703035,5.905596643682003e-7
0.00017915689751752317,5.88449862485305e-7
3.5371651318182734e-5,2.466945336602631e-6
1.0050778022115646e-5,2.527837572603286e-7
4.786186822804735e-6,-4.2369133576298894e-7
3.4094055574216374e-6,-5.466014717048304e-7
2.969249047531531e-6,-5.527910303165708e-7
2.8596868734504996e-6,-5.491509475210547e-7
2.9691949905248302e-6,-5.52788207343162e-7
3.408896905509381e-6,-5.464257164565847e-7
4.7861034768786545e-6,-4.236342953988035e-7
1.0051395135931857e-5,2.5261456370988256e-7
3.53727719931197e-5,2.4663886845056014e-6
0.0001791593659307214,5.865492355033343e-7
0.00017915947805909526,5.868331277132047e-7
3.537180070560964e-5,2.4668994418870858e-6
1.0050602302327967e-5,2.528765509571002e-7
4.7865366913178026e-6,-4.238091221697021e-7
3.4093177277050475e-6,-5.465621535974668e-7
2.96935619423103e-6,-5.528481849560989e-7
2.8595658523680213e-6,-5.491315823395043e-7
2.9689210665857432e-6,-5.527167749991811e-7
3.4091093873847914e-6,-5.465151744327677e-7
4.786580089924993e-6,-4.2377939411765084e-7
1.005152688949261e-5,2.52563573232634e-7
3.5371940498950174e-5,2.4667798458576085e-6
0.00017915464551671685,5.89090624516413e-7
0.00017915512388727486,5.8870080789147e-7
3.5372214318912104e-5,2.4667117159394517e-6
1.0051449111377932e-5,2.5254819457313366e-7
4.786643831814798e-6,-4.238349340412225e-7
3.4094696503431457e-6,-5.466394128385722e-7
2.9693764253563987e-6,-5.528746356826906e-7
2.8594696410027577e-6,-5.49112777157917e-7
2.969402924183403e-6,-5.528843238667563e-7
3.4095975332704836e-6,-5.466569956819566e-7
4.786817763648577e-6,-4.23912763793631e-7
1.0050642444571663e-5,2.5277900793396237e-7
3.5370053688019154e-5,2.4674476278450843e-6
0.00017915689751745226,5.884498625037364e-7
0.00017915868488973868,5.872421741104361e-7
3.537174477107833e-5,2.466852607292073e-6
1.0050910098218305e-5,2.527204426162194e-7
4.786201403148178e-6,-4.237052696289857e-7
3.4091219713078443e-6,-5.465127314221302e-7
2.968868930190282e-6,-5.526847993788959e-7
2.859565505850068e-6,-5.49118222917212e-7
2.9693482399817915e-6,-5.528125592447336e-7
3.409471012823153e-6,-5.466106093390561e-7
4.7862702138297235e-6,-4.237001333280959e-7
1.005100664746867e-5,2.5263409820304623e-7
3.5371651318169724e-5,2.4669453365976438e-6
0.00017915947805903455,5.868331277259983e-7
0.00017915608199936452,5.882421239031092e-7
3.537124462635712e-5,2.466967875357348e-6
1.0050575270366228e-5,2.52784460819935e-7
4.786498048043458e-6,-4.238253671245192e-7
3.409110627896391e-6,-5.465154646439822e-7
2.969485048287361e-6,-5.528968866541552e-7
2.859892933666699e-6,-5.492141084975036e-7
2.969587435828081e-6,-5.529262311094064e-7
3.409286174156645e-6,-5.465480865751802e-7
4.786775019754649e-6,-4.2391795326162697e-7
1.0050778022105671e-5,2.5278375725534125e-7
3.537180070557755e-5,2.4668994418899047e-6
0.00017915512388721718,5.887008079183582e-7
0.00017915697780929076,5.877458107979121e-7
3.5370518319627516e-5,2.4672699201818294e-6
1.0051039425869324e-5,2.525982393370395e-7
4.786210967884334e-6,-4.237055433254158e-7
3.4095311519603128e-6,-5.466465887698623e-7
2.9695427877108466e-6,-5.5288525866652e-7
2.85989373782769e-6,-5.492255744214171e-7
2.9692190975016616e-6,-5.527741604163458e-7
3.4096313999598844e-6,-5.466896021147014e-7
4.786186822809506e-6,-4.236913357606037e-7
1.0050602302316691e-5,2.528765509649065e-7
3.537221431891124e-5,2.4667117159546306e-6
0.00017915868488967688,5.872421741518526e-7
0.000179155636725015,5.888042212871553e-7
3.5370919055760595e-5,2.4670077618260417e-6
1.0050472171112702e-5,2.5285939247846924e-7
4.786548808247658e-6,-4.238338642149203e-7
3.4095108790805836e-6,-5.466293433800673e-7
2.969564145064666e-6,-5.529182542222434e-7
2.8596278394922223e-6,-5.49115841494462e-7
2.9697633874008374e-6,-5.529866078368955e-7
3.4094055574159995e-6,-5.466014717117693e-7
4.786536691295251e-6,-4.2380912217577366e-7
1.0051449111376197e-5,2.5254819457573574e-7
3.537174477105014e-5,2.4668526073033485e-6
0.00017915608199927996,5.882421239378037e-7
0.00017915620028896573,5.881202055754622e-7
3.537176755116431e-5,2.466893591529778e-6
1.0050972817386272e-5,2.526945358156431e-7
4.786410750963303e-6,-4.237592386646064e-7
3.4094387409795354e-6,-5.466116607020458e-7
2.9691473118040497e-6,-5.527389301603503e-7
2.8599501868766843e-6,-5.492413386310162e-7
2.9692490475254595e-6,-5.527910303267623e-7
3.4093177276833635e-6,-5.465621536046225e-7
4.786643831812629e-6,-4.23834934040572e-7
1.0050910098201825e-5,2.5272044262337513e-7
3.537124462633153e-5,2.4669678753642867e-6
0.0001791569778092038,5.877458108200298e-7
0.00017915865540034468,5.871652273370474e-7
3.537113998312554e-5,2.467032749962385e-6
1.0050749014391906e-5,2.5271936708419485e-7
4.786801320367812e-6,-4.239172750305012e-7
3.4094373892960134e-6,-5.465731394661485e-7
2.969774406888677e-6,-5.52983060614267e-7
2.859686873452668e-6,-5.491509475264757e-7
2.9693561942206216e-6,-5.528481849597852e-7
3.4094696503518193e-6,-5.466394128338017e-7
4.786201403143408e-6,-4.237052696192279e-7
1.0050575270362759e-5,2.5278446082774124e-7
3.537051831959976e-5,2.4672699201872504e-6
0.00017915563672494107,5.888042213274877e-7
0.00017915618160922958,5.883285826451846e-7
3.5370527326431065e-5,2.467269515569505e-6
1.0051382269983533e-5,2.525335457287132e-7
4.786740839184383e-6,-4.2380847121580197e-7
3.409745299036253e-6,-5.467089283911746e-7
2.969194990527866e-6,-5.527882073531366e-7
2.8595658523593477e-6,-5.491315823473106e-7
2.9693764253672407e-6,-5.528746356837748e-7
3.4091219713087116e-6,-5.465127314190944e-7
