re,im
0.00012037921462388886,1.8254845440529967e-5
1.641935015764609e-5,3.6361240525208637e-6
5.819864167975466e-6,-2.0318495096648646e-7
3.8396144591030124e-6,-5.983555522290265e-7
3.152517377851471e-6,-5.858381593453095e-7
2.871743328615667e-6,-5.593916161928357e-7
2.7934788854168478e-6,-5.504447777816487e-7
2.871376364594865e-6,-5.592527355525578e-7
3.1522961694702145e-6,-5.858176179043655e-7
3.8386023014339195e-6,-5.976704452890971e-7
5.823603145265572e-6,-2.038016146887426e-7
1.642506550329423e-5,3.6314929733082587e-6
0.00012034397403121958,1.8276189130483856e-5
0.00012037844296413453,1.825626822851028e-5
1.6420755769975962e-5,3.634645578026773e-6
5.8222051523429755e-6,-2.0399765289329241e-7
3.8379136668483665e-6,-5.976409535965888e-7
3.152405923286493e-6,-5.858140253384506e-7
2.871287735994746e-6,-5.592027206623249e-7
2.7929258126341804e-6,-5.502114593090336e-7
2.870988498875071e-6,-5.591658055917152e-7
3.1517504343147977e-6,-5.855007384058131e-7
3.83917824683098e-6,-5.978522859659448e-7
5.823529098417275e-6,-2.0398568987179018e-7
1.6422700082938547e-5,3.633012217820787e-6
0.00012037494995621972,1.8259958226741297e-5
0.00012036623372394385,1.8267327519859086e-5
1.642086629839506e-5,3.6347435687532e-6
5.8175637612800386e-6,-2.019911532204991e-7
3.838260308715704e-6,-5.978234486978679e-7
3.152518069893598e-6,-5.858394574803031e-7
2.8712790622372874e-6,-5.592097394823119e-7
2.793412254392365e-6,-5.504845428194825e-7
2.87126323600612e-6,-5.591972003359414e-7
3.1531044086090254e-6,-5.859603494937169e-7
3.840500041675564e-6,-5.982662058989958e-7
5.8235222176192605e-6,-2.04425440843755e-7
1.641981464944398e-5,3.634848444391322e-6
0.00012037921462389428,1.8254845440540375e-5
0.00012037421005369007,1.8258444972114006e-5
1.6419849627383578e-5,3.635598588549267e-6
5.821967904694799e-6,-2.035383841357194e-7
3.8390538586122874e-6,-5.978523871948659e-7
3.1518917196649704e-6,-5.855134804890264e-7
2.871031332610111e-6,-5.591366984674523e-7
2.792672184176101e-6,-5.500792143102277e-7
2.871274106399247e-6,-5.591136684715732e-7
3.1527414582383124e-6,-5.856826288607678e-7
3.839113339119396e-6,-5.979984744805805e-7
5.818357100080291e-6,-2.023600841377822e-7
1.641935015764609e-5,3.6361240525275857e-6
0.00012037844296414147,1.825626822851787e-5
0.00012037635213431016,1.825664196928689e-5
1.6427658896967217e-5,3.6315609420066366e-6
5.822696302114436e-6,-2.0355121444870332e-7
3.837930303839197e-6,-5.975154541433114e-7
3.1518982902263397e-6,-5.856822552696359e-7
2.870656059219623e-6,-5.589854630821262e-7
2.79307858591692e-6,-5.502734820232551e-7
2.871577797824553e-6,-5.592198096778574e-7
3.152943073496655e-6,-5.860443504414076e-7
3.837518101777867e-6,-5.975482606267526e-7
