re,im
0.00024428079507540974,-1.7719215591239113e-5
7.742016890549108e-5,3.8701299921186337e-7
2.8369067012697135e-5,1.6488770561674197e-6
1.1884349298317467e-5,7.938831617952322e-7
6.167431573492503e-6,1.1339089976496707e-7
4.203103250843571e-6,-2.1887222905565482e-7
3.7280674240189934e-6,-3.1382793092352146e-7
4.2026086765761805e-6,-2.1953533233085194e-7
6.163858846218321e-6,1.117371972812059e-7
1.187675910411059e-5,7.938745747002214e-7
2.8346605818948666e-5,1.642906828051502e-6
7.724019991011376e-5,4.466728401974866e-7
0.00024392698819737896,-1.782331059533345e-5
0.0002438109424872535,-1.7783026126437116e-5
7.725932660697702e-5,4.793295190770163e-7
2.832914305648626e-5,1.6579797854977037e-6
1.1882070359565131e-5,7.92210314323142e-7
6.161702526782378e-6,1.1186052779345833e-7
4.205689905365656e-6,-2.2130716590957993e-7
3.728544169544863e-6,-3.141846666085673e-7
4.20637399738133e-6,-2.2078747163975683e-7
6.168487963195864e-6,1.1097392522410252e-7
1.1894639644345877e-5,7.834409119977445e-7
2.8368850755162685e-5,1.6251496822096596e-6
7.744243138454445e-5,3.1990892799789797e-7
0.00024394165671888968,-1.7833304465964678e-5
0.000244546022977777,-1.7790076111744027e-5
7.73592239261356e-5,4.708907753059755e-7
2.8386286819721005e-5,1.6469090333359141e-6
1.1880989469620091e-5,7.933725223536938e-7
6.167380190325034e-6,1.114699367595496e-7
4.203651542096466e-6,-2.1813904392694282e-7
3.7263197222260278e-6,-3.1185952806636087e-7
4.202175342352642e-6,-2.1719435335334526e-7
6.164901386799962e-6,1.1329402987265112e-7
1.1876198260911451e-5,7.937534362352939e-7
2.836883079311396e-5,1.6394294969587254e-6
7.725286596971291e-5,4.7442261658960094e-7
0.0002442807950754375,-1.771921559125039e-5
0.0002442795459842073,-1.787935286952369e-5
7.744077420275683e-5,3.936274880710598e-7
2.8361425663516772e-5,1.6376652082145463e-6
1.1893276503251301e-5,7.833145247205815e-7
6.168402022146665e-6,1.1147915724069903e-7
4.205758445987619e-6,-2.1981507356233325e-7
3.728987214279009e-6,-3.1317851699377147e-7
4.208509229709301e-6,-2.2105500585350643e-7
6.170471035620018e-6,1.0951973167445429e-7
1.1902850248184625e-5,7.820366431561272e-7
2.8372048413645955e-5,1.6329260786103906e-6
7.742016890550452e-5,3.870129992088276e-7
0.0002438109424872676,-1.778302612645186e-5
0.00024419980739440075,-1.7849555336431257e-5
7.727328150112568e-5,4.3243667236176134e-7
2.836213254115631e-5,1.6268237653192102e-6
1.1882447013324745e-5,7.914129146826838e-7
6.164702938343293e-6,1.125052399440947e-7
4.204996300129693e-6,-2.190645222561148e-7
3.7302551758769224e-6,-3.1411941333985005e-7
4.206575034831905e-6,-2.2005221389552812e-7
6.170826769188705e-6,1.1119904297644985e-7
1.1882274739626617e-5,7.936370517887259e-7
2.8369067012708193e-5,1.648877056164167e-6
7.7259326606982e-5,4.793295190655238e-7
0.00024454602297780043,-1.7790076111768747e-5
0.00024402256469563378,-1.7880580070630267e-5
7.74161985723147e-5,3.310888602172605e-7
2.838283982941757e-5,1.6344392376711151e-6
1.1889273960671376e-5,7.898227512696289e-7
6.168923317585555e-6,1.1203202994079439e-7
4.20698581127428e-6,-2.2053108353153016e-7
3.7285882203072496e-6,-3.133698841958042e-7
4.205336027462113e-6,-2.1920803145304528e-7
6.162853749032285e-6,1.1427077463237699e-7
1.188434929833438e-5,7.938831617969669e-7
2.8329143056493632e-5,1.6579797854916322e-6
7.735922392615143e-5,4.7089077529860295e-7
0.00024427954598424655,-1.7879352869550145e-5
0.00024397589503364226,-1.7811284925994212e-5
7.730969779103092e-5,4.68413450110082e-7
2.8341672952462288e-5,1.6587919800209287e-6
1.1881444966080736e-5,7.948278859320427e-7
6.1650245666016075e-6,1.1190438728501777e-7
4.202745372765271e-6,-2.1844757010897574e-7
3.7263530839116207e-6,-3.1203261820103405e-7
4.202381427476868e-6,-2.1740818966376613e-7
6.167431573504863e-6,1.1339089976691863e-7
1.1882070359567516e-5,7.922103143214072e-7
2.8386286819725125e-5,1.6469090333356973e-6
7.744077420276832e-5,3.9362748806628933e-7
0.00024419980739443306,-1.7849555336449906e-5
0.0002445261130080312,-1.7775844541165773e-5
7.73503006053452e-5,4.74758761246849e-7
2.8374934024181196e-5,1.6501700076246902e-6
1.1888541714161639e-5,7.890010888405609e-7
6.163859627224223e-6,1.1370488400440013e-7
4.202544260607094e-6,-2.183185730799883e-7
3.7255821915840003e-6,-3.117231900516982e-7
4.203103250856582e-6,-2.1887222905435377e-7
6.161702526781294e-6,1.1186052779020572e-7
1.1880989469620958e-5,7.933725223508749e-7
2.8361425663523277e-5,1.6376652082110768e-6
7.727328150113825e-5,4.3243667235547296e-7
0.00024402256469565546,-1.7880580070650867e-5
0.0002442864374196012,-1.7882288235269083e-5
7.742376835773862e-5,4.0015658906073816e-7
2.8385551969266213e-5,1.624614621304355e-6
1.1884828988235029e-5,7.910613460124574e-7
6.1652371798196545e-6,1.1221234795869006e-7
4.205114281503495e-6,-2.1916511055465604e-7
3.728067424031787e-6,-3.1382793092091937e-7
4.205689905369776e-6,-2.2130716591391673e-7
6.167380190325901e-6,1.1146993675933276e-7
1.1893276503258674e-5,7.833145247192804e-7
2.8362132541167803e-5,1.6268237653176924e-6
7.741619857232727e-5,3.3108886020793635e-7
0.00024397589503367652,-1.7811284926019365e-5
0.00024413595986493507,-1.7821974149219736e-5
7.73473279130992e-5,3.850781127344785e-7
2.833971429419156e-5,1.6517668017879475e-6
1.187468237633972e-5,7.93603539170698e-7
6.165666620124152e-6,1.1284520597728415e-7
4.202608676581385e-6,-2.195353323273825e-7
3.728544169539442e-6,-3.141846666113862e-7
4.2036515420901775e-6,-2.1813904392542494e-7
