re,im
0.00012025821408350075,2.0349578297570873e-5
1.5964223627876455e-5,4.0373681052443405e-6
5.7241887479197746e-6,-1.6695127153464571e-7
3.8086986434951627e-6,-5.888126349388751e-7
3.1278268976999563e-6,-5.782551743100609e-7
2.844442781197885e-6,-5.517761881481537e-7
2.7644128567671546e-6,-5.425770674399172e-7
2.8438998980898425e-6,-5.515789343816645e-7
3.1277631631762212e-6,-5.782147739737727e-7
3.8091685566636526e-6,-5.889653672715156e-7
5.723987931549948e-6,-1.6670085507754402e-7
1.5965623443543048e-5,4.036742198507744e-6
0.0001202593061075917,2.034547277941518e-5
0.00012025045544050207,2.0355194166070704e-5
1.5966116539747974e-5,4.036717724425045e-6
5.722554212257789e-6,-1.6634610476465132e-7
3.8095929186896405e-6,-5.893659176298052e-7
3.1284161712272825e-6,-5.785636087111273e-7
2.844052617122792e-6,-5.517100180249535e-7
2.76504074247369e-6,-5.429349897191887e-7
2.8446502942436943e-6,-5.519598385431753e-7
3.127804083929552e-6,-5.783118718944054e-7
3.8095910508521586e-6,-5.892859961194232e-7
5.7243886215725594e-6,-1.6707502502604117e-7
1.5966961144531005e-5,4.036149312963699e-6
0.00012024252762530803,2.0358711740097466e-5
0.00012025330724078735,2.0352554076538514e-5
1.5963911198374264e-5,4.037203607919291e-6
5.723898469073459e-6,-1.6709533591464584e-7
3.810356569800954e-6,-5.895210824185919e-7
3.127478591551493e-6,-5.780873441139228e-7
2.8440364284057582e-6,-5.516504229493343e-7
2.765120253013552e-6,-5.428771247789187e-7
2.843824368695038e-6,-5.51550974665525e-7
3.1272575426110564e-6,-5.780372899397927e-7
3.8097017361238706e-6,-5.892211366934335e-7
5.72430218061617e-6,-1.6686851493641353e-7
1.596428896131607e-5,4.0369041507505934e-6
0.00012025821408347603,2.0349578297601447e-5
0.00012025673295181448,2.0352882344962893e-5
1.5962857845359425e-5,4.03726471259443e-6
5.724873618319099e-6,-1.674519411458842e-7
3.809453301984074e-6,-5.891091174529788e-7
3.1278845756413723e-6,-5.783065778557604e-7
2.844727552784405e-6,-5.519248380545568e-7
2.7648222249909357e-6,-5.427907793999383e-7
2.843817140074558e-6,-5.516125239088746e-7
3.1281029229588125e-6,-5.783865720770769e-7
3.8101701876163113e-6,-5.894151893707893e-7
5.724688037700518e-6,-1.6743394054660916e-7
1.5964223627868866e-5,4.037368105263206e-6
0.00012025045544047301,2.0355194166095207e-5
0.00012024131227343681,2.0361545437952173e-5
1.596521282427269e-5,4.03604409600594e-6
5.724303630177778e-6,-1.6675196586220242e-7
3.809895004937801e-6,-5.892941756272755e-7
3.1286117943708346e-6,-5.785363812872528e-7
2.844140209696611e-6,-5.517110706839985e-7
2.764503980971474e-6,-5.427274368040129e-7
2.8444085376500006e-6,-5.518494328208504e-7
3.128260650827556e-6,-5.78430791368283e-7
